time,displacement,velocity,force
0,0,0,0
0.003,1.28235719359708e-09,1.28122120679726e-06,0.2984175365768
0.006,1.02311882741408e-08,5.10623611104176e-06,0.593512581461196
0.009,3.44341494127749e-08,1.14455600248773e-05,0.885050819950258
0.012,8.13874422188199e-08,2.02677120441905e-05,1.17280081843616
0.015,1.58489863043193e-07,3.15392406522865e-05,1.45653423595325
0.018,2.73036931800875e-07,4.5224751124888e-05,1.73602603290838
0.021,4.32215105679381e-07,6.12869347115105e-05,2.01105467680718
0.024,6.43096083022927e-07,7.96865995666684e-05,2.28140234479134
0.027,9.12631202600025e-07,0.000100382703402798,2.54685512280495
0.03,1.24764594337553e-06,0.000123332387835235,2.80720320121111
0.033,1.6548345298169e-06,0.000148491014388059,3.06224106668301
0.036,2.14075464766864e-06,0.000175812202128141,3.31176769019713
0.039,2.71182227502875e-06,0.000205247866893252,3.55558671095971
0.042,3.37430663345618e-06,0.000236748262078654,3.79350661610132
0.045,4.13432526372989e-06,0.000270262020945231,4.02534091597803
0.048,4.99783923076678e-06,0.000305736200410795,4.25090831492188
0.051,5.9706484620889e-06,0.000343116326284925,4.47003287728717
0.054,7.05838722410939e-06,0.000382346439906358,4.6825441886435
0.057,8.26651974038192e-06,0.000423369146140722,4.88827751197083
0.06,9.60033595582951e-06,0.000466125662695157,5.08707393871617
0.063,1.10649474508371e-05,0.000510555870705204,5.27878053457645
0.066,1.26652835089558e-05,0.000556598366548185,5.46325047987652
0.069,1.44060873418292e-05,0.000604190514836212,5.64034320441623
0.072,1.62919124748075e-05,0.000653268502540889,5.80992451666567
0.075,1.83271192965728e-05,0.00070376739420076,5.97186672719243
0.078,2.05158717759487e-05,0.000755621188161593,6.12604876621019
0.081,2.28621343489158e-05,0.000808762873798647,6.27235629514305
0.084,2.53696689787036e-05,0.000863124489669198,6.41068181210556
0.087,2.80420323916684e-05,0.000918637182542765,6.54092475120373
0.09,3.0882573491513e-05,0.000975231267255687,6.66299157556801
0.093,3.38944309542386e-05,0.00103283628733596,6.77679586403463
0.096,3.70805310060581e-05,0.00109138107634355,6.88225839139772
0.099,4.04435853863348e-05,0.0011507938198708,6.97930720216025
0.102,4.39860894974418e-05,0.00121100211814682,7.06787767771744
0.105,4.7710320743271e-05,0.00127193304918947,7.1479125969128
0.108,5.16183370579469e-05,0.00133351323244769,7.21936218991225
0.111,5.57119756261324e-05,0.00139566889287686,7.28218418534825
0.114,5.99928517961367e-05,0.00145832592538927,7.33634385069171
0.117,6.44623581868655e-05,0.00152140995962142,7.38181402581566
0.12,6.9121663989475e-05,0.00158484642495978,7.41857514972054
0.123,7.39717144644168e-05,0.00164856061576618,7.44661528039757
0.126,7.90132306343864e-05,0.00171247775674403,7.46593010781232
0.129,8.4246709173506e-05,0.00177652306838628,7.47652295999719
0.132,8.9672422492901e-05,0.00184062183244603,7.47840480224742
0.135,9.52904190226484e-05,0.0019046994573707,7.47159422942176
0.138,0.000101100523689899,0.00196868154364071,7.45611745135474
0.141,0.000107102338592798,0.00203249394895364,7.43200827139414
0.144,0.000113295243869655,0.00209606285319495,7.39930805808293
0.147,0.000119678398762629,0.00215931482313679,7.35806571001166
0.15,0.000126250742875031,0.00222217687680635,7.30833761387293
0.153,0.000133010997621166,0.00228457654746563,7.250187595756
0.156,0.000139957667867453,0.002346441947145,7.18368686572566
0.159,0.000147089043763411,0.00240770182967303,7.10891395573527
0.162,0.000154403202760901,0.00246828565314586,7.0259546509302
0.165,0.000161898011819872,0.00252812364177957,6.9349019144037
0.168,0.000169571129798665,0.00258714684708982,6.83585580547298
0.171,0.000177420010026775,0.00264528720834346,6.72892339154943
0.174,0.000185441903057815,0.0027024776122276,6.61421865368241
0.177,0.000193633859600239,0.00275865195168224,6.49186238586176
0.18,0.000201992733623243,0.00281374518384331,6.36198208816998
0.183,0.000210515185635099,0.00286769338704391,6.22471185388028
0.186,0.000219197686131013,0.0029204338168222,6.0801922506025
0.189,0.00022803651920745,0.00297190496088545,5.92857019558376
0.192,0.000237027786339732,0.00302204659298053,5.76999882527661
0.195,0.000246167410319537,0.00307079982562231,5.60463735929192
0.198,0.000255451139348814,0.0031181071616323,5.43265095885934
0.201,0.000264874551286475,0.00316391254444099,5.25421057992281
0.204,0.000274433058044075,0.00320816140710854,5.06949282100355
0.207,0.000284121910126582,0.0032508007200194,4.8786797659675
0.21,0.000293936201314184,0.00329177903720801,4.68195882183912
0.213,0.000303870873480972,0.00333104654127356,4.47952255180742
0.216,0.000313920721546196,0.00336855508684327,4.27156850357489
0.219,0.000324080398553682,0.00340425824254506,4.05829903320388
0.222,0.000334344420874893,0.00343811133145151,3.83992112461905
0.225,0.000344707173530971,0.0034700714699587,3.61664620492877
0.228,0.000355162915629035,0.00350009760506478,3.38868995573147
0.231,0.000365705785907862,0.00352815055001457,3.15627212057722
0.234,0.000376329808388018,0.00355419301827786,2.91961630875781
0.237,0.000387028898121383,0.00357818965583102,2.67894979560215
0.24,0.000397796867034936,0.00360010707171227,2.43450331945677
0.243,0.000408627429863589,0.00361991386682346,2.18651087553449
0.246,0.000419514210166756,0.00363758066095189,1.93520950681664
0.249,0.00043045074642329,0.00365308011798803,1.6808390921975
0.252,0.00044143049819934,0.00366638696931617,1.4236421320614
0.255,0.000452446852383608,0.00367747803535677,1.16386353148603
0.258,0.00046349312948444,0.00368633224524122,0.901750381266733
0.261,0.000474562589983116,0.00369293065460087,0.637551736959476
0.264,0.000485648440737658,0.00369725646145449,0.371518396141077
0.267,0.000496743841431432,0.00369929502017954,0.103902674087599
